date,TargetXGB_scale
2017-04-08 0:00,52.21920154
2017-04-09 0:00,-380.7335037
2017-04-10 0:00,-301.9837791
2017-04-11 0:00,-400.6235313
2017-04-12 0:00,252.6913923
2017-04-13 0:00,50.66737882
2017-04-14 0:00,52.72024096
2017-04-15 0:00,84.3499237
2017-04-16 0:00,-69.98781296
2017-04-17 0:00,-286.8527337
2017-04-18 0:00,367.338693
2017-04-19 0:00,893.1274554
2017-04-20 0:00,51.48653486
2017-04-21 0:00,-5.467015508
2017-04-22 0:00,-136.5759158
2017-04-23 0:00,606.3903694
2017-04-24 0:00,463.2118315
2017-04-25 0:00,-293.3020868
2017-04-26 0:00,-114.3259734
2017-04-27 0:00,38.48376948
2017-04-28 0:00,659.725183
2017-04-29 0:00,-509.2823427
2017-04-30 0:00,119.2556221
2017-05-01 0:00,40.52866338
2017-05-02 0:00,154.6209362
2017-05-03 0:00,-122.0431159
2017-05-04 0:00,407.1953598
2017-05-05 0:00,-105.6653171
2017-05-06 0:00,33.5356556
2017-05-07 0:00,-293.0340728
2017-05-08 0:00,-558.7599904
2017-05-09 0:00,49.61049891
2017-05-10 0:00,-110.188361
2017-05-11 0:00,42.67831116
2017-05-12 0:00,-349.8691957
2017-05-13 0:00,103.975786
2017-05-14 0:00,-559.7210062
2017-05-15 0:00,-388.8593312
2017-05-16 0:00,-209.3725857
2017-05-17 0:00,690.6503249
2017-05-18 0:00,-282.3299423
2017-05-19 0:00,475.4207772
2017-05-20 0:00,164.6702997
2017-05-21 0:00,-157.2273391
2017-05-22 0:00,-193.5342039
2017-05-23 0:00,-775.4112937
2017-05-24 0:00,-38.11308791
2017-05-25 0:00,57.11190952
2017-05-26 0:00,-186.5102969
2017-05-27 0:00,-135.6408267
2017-05-28 0:00,-422.7350491
2017-05-29 0:00,497.7939628
2017-05-30 0:00,-329.2783717
2017-05-31 0:00,-765.8126842
2017-06-01 0:00,-174.9038072
2017-06-02 0:00,-505.7084112
2017-06-03 0:00,-427.0883899
2017-06-04 0:00,480.6128651
2017-06-05 0:00,827.538084
2017-06-06 0:00,-344.4263948
2017-06-07 0:00,-233.3303897
2017-06-08 0:00,-254.9604144
2017-06-09 0:00,403.4543166
2017-06-10 0:00,210.8164632
2017-06-11 0:00,255.0275198
2017-06-12 0:00,63.74295639
2017-06-13 0:00,159.45752
2017-06-14 0:00,-119.1235136
2017-06-15 0:00,-303.2047838
2017-06-16 0:00,-111.3478808
2017-06-17 0:00,-577.3717504
2017-06-18 0:00,-109.3415726
2017-06-19 0:00,-491.3243718
2017-06-20 0:00,-76.31036761
2017-06-21 0:00,327.7028307
2017-06-22 0:00,-147.9490575
2017-06-23 0:00,-335.7115039
2017-06-24 0:00,-88.53710237
2017-06-25 0:00,23.29775146
2017-06-26 0:00,109.7843756
2017-06-27 0:00,-170.8765757
2017-06-28 0:00,190.6381683
2017-06-29 0:00,120.9017393
2017-06-30 0:00,-52.81958421
2017-07-01 0:00,-142.5790072
2017-07-02 0:00,-748.9233565
2017-07-03 0:00,300.2848277
2017-07-04 0:00,-136.6124111
2017-07-05 0:00,-31.41272834
2017-07-06 0:00,55.55985183
2017-07-07 0:00,-630.0158088
2017-07-08 0:00,-30.9375956
2017-07-09 0:00,-119.4574777
2017-07-10 0:00,58.51649243
2017-07-11 0:00,-119.4664605
2017-07-12 0:00,28.15722303
2017-07-13 0:00,-194.9225107
2017-07-14 0:00,59.66152851
2017-07-15 0:00,220.3819235
2017-07-16 0:00,58.36703756
2017-07-17 0:00,-684.0371251
2017-07-18 0:00,-133.2360055
2017-07-19 0:00,-59.70817178
2017-07-20 0:00,-115.6792089
2017-07-21 0:00,-289.5533091
2017-07-22 0:00,-484.4760518
2017-07-23 0:00,-16.14082654
2017-07-24 0:00,303.8564816
2017-07-25 0:00,-28.82320827
2017-07-26 0:00,-220.1684252
2017-07-27 0:00,-190.069939
2017-07-28 0:00,-185.286716
2017-07-29 0:00,68.30933106
2017-07-30 0:00,-102.5866641
2017-07-31 0:00,-98.27586122
2017-08-01 0:00,275.3732603
2017-08-02 0:00,-7.194464031
2017-08-03 0:00,-101.6974051
2017-08-04 0:00,946.9321019
2017-08-05 0:00,167.65951
2017-08-06 0:00,-127.9924577
2017-08-07 0:00,-100.7855421
2017-08-08 0:00,-107.4947733
2017-08-09 0:00,-268.7203687
2017-08-10 0:00,-299.3374708
2017-08-11 0:00,-112.3419372
2017-08-12 0:00,-123.0778542
2017-08-13 0:00,-130.395698
2017-08-14 0:00,-3.725140327
2017-08-15 0:00,-203.117447
2017-08-16 0:00,-11.04156308
2017-08-17 0:00,68.81224191
2017-08-18 0:00,69.0525963
2017-08-19 0:00,-335.1778329
2017-08-20 0:00,-78.17606618
2017-08-21 0:00,-285.8125272
2017-08-22 0:00,108.9891226
2017-08-23 0:00,303.685414
2017-08-24 0:00,-286.3366825
2017-08-25 0:00,-118.1883325
2017-08-26 0:00,-107.5178679
2017-08-27 0:00,1035.273001
2017-08-28 0:00,65.65745054
2017-08-29 0:00,-699.7947529
2017-08-30 0:00,27.37900368
2017-08-31 0:00,32.19805634
2017-09-01 0:00,-199.4280505
2017-09-02 0:00,69.95722478
2017-09-03 0:00,-267.4653495
2017-09-04 0:00,121.8663177
2017-09-05 0:00,69.84779944
2017-09-06 0:00,-352.624098
2017-09-07 0:00,577.0604462
2017-09-08 0:00,-11.39545694
2017-09-09 0:00,-474.0389337
2017-09-10 0:00,70.45279333
2017-09-11 0:00,74.10222808
2017-09-12 0:00,-448.8719658
2017-09-13 0:00,152.3158372
2017-09-14 0:00,268.4651938
2017-09-15 0:00,-204.4539381
2017-09-16 0:00,-190.0962525
2017-09-17 0:00,-388.2903053
2017-09-18 0:00,302.6847359
2017-09-19 0:00,69.90807894
2017-09-20 0:00,644.3691626
2017-09-21 0:00,-260.0211128
2017-09-22 0:00,-488.9815615
2017-09-23 0:00,-374.5380141
2017-09-24 0:00,-276.6770311
2017-09-25 0:00,146.9835864
2017-09-26 0:00,-616.6165604
2017-09-27 0:00,526.6667996
2017-09-28 0:00,-273.4007982
2017-09-29 0:00,143.7050453
2017-09-30 0:00,342.8097594
2017-10-01 0:00,-445.76443
2017-10-02 0:00,-830.0379814
